City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Kokopo,PG,-4.352,152.2633,77.04,79,100,4.52,overcast clouds
249,Torbay,CA,47.6666,-52.7314,62.89,51,20,14.97,few clouds
250,Hualmay,PE,-11.0964,-77.6139,66.06,67,11,13.67,few clouds
251,Dauphin,CA,51.1494,-100.0502,46.54,76,100,20.71,overcast clouds
252,Okhotsk,RU,59.3833,143.3,29.37,55,100,9.15,overcast clouds
253,Zhigansk,RU,66.7697,123.3711,24.21,93,100,11.74,overcast clouds
254,Kichera,RU,55.9375,110.0997,21.63,73,66,4.25,broken clouds
255,Dzhebariki-Khaya,RU,62.2167,135.8,5.85,97,35,1.45,scattered clouds
256,Hobyo,SO,5.3505,48.5268,77.11,87,51,19.91,broken clouds
257,Yuli,NG,9.6989,10.2744,75.27,80,22,1.45,light rain
258,Yueyang,CN,29.3333,113.0919,50.43,88,100,11.77,overcast clouds
259,Una,IN,20.8167,71.0333,78.78,72,97,13.06,overcast clouds
260,Hofn,IS,64.2539,-15.2082,43.86,58,6,12.77,clear sky
261,Jiehu,CN,35.5428,118.455,51.64,66,100,3.53,overcast clouds
262,Aneho,TG,6.2333,1.6,79.0,86,42,10.54,scattered clouds
263,Codrington,AU,-38.2667,141.9667,54.86,93,100,11.27,overcast clouds
264,Bushehr,IR,28.9684,50.8385,87.89,58,0,0.0,clear sky
265,Young,UY,-32.6833,-57.6333,72.64,44,51,11.83,broken clouds
266,Itoman,JP,26.1247,127.6694,78.82,83,100,13.8,overcast clouds
267,San Juan,AR,-31.5375,-68.5364,60.51,46,100,16.4,overcast clouds
268,Dalvik,IS,65.9702,-18.5286,40.93,98,100,9.8,overcast clouds
269,Fort Nelson,CA,58.8053,-122.7002,40.59,81,75,3.44,mist
270,Flinders,AU,-34.5833,150.8552,58.37,92,100,3.0,light rain
271,Guarapari,BR,-20.6667,-40.4975,75.88,90,77,4.05,broken clouds
272,Jiuquan,CN,39.7432,98.5174,40.21,41,0,1.1,clear sky
273,Gizo,SB,-8.103,156.8419,81.73,75,67,7.85,broken clouds
274,Ferme-Neuve,CA,46.7001,-75.4493,68.67,58,18,5.57,few clouds
275,Kaitangata,NZ,-46.2817,169.8464,36.95,83,100,14.29,overcast clouds
276,Raudeberg,NO,61.9875,5.1352,50.67,1,100,27.49,overcast clouds
277,Hamilton,US,39.1834,-84.5333,78.15,30,75,3.0,broken clouds
278,Krasnyy Chikoy,RU,50.3643,108.7512,23.07,83,7,2.13,clear sky
279,Fairbanks,US,64.8378,-147.7164,46.22,81,82,2.35,broken clouds
280,Khorixas,NA,-20.3667,14.9667,69.1,28,0,4.47,clear sky
281,Lima,PE,-12.0432,-77.0282,62.85,68,75,4.61,broken clouds
282,Pevek,RU,69.7008,170.3133,28.96,81,100,9.51,overcast clouds
283,The Pas,CA,53.8251,-101.2541,39.22,65,75,13.8,broken clouds
284,Priargunsk,RU,50.3691,119.1012,24.84,56,7,4.5,clear sky
285,Husavik,IS,66.0449,-17.3389,36.7,97,100,39.35,overcast clouds
286,Mana,GF,5.6592,-53.7767,82.96,71,26,11.56,scattered clouds
287,Tambacounda,SN,13.7539,-13.7586,84.15,70,7,7.92,clear sky
288,Ostrovnoy,RU,68.0531,39.5131,46.87,90,100,13.18,overcast clouds
289,Mackay,AU,-21.15,149.2,68.68,81,14,9.66,few clouds
290,Gawler,AU,-34.6,138.7333,56.1,94,0,3.85,clear sky
291,Pringsewu,ID,-5.3582,104.9744,73.02,96,100,3.06,overcast clouds
292,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,10.36,overcast clouds
293,San Policarpo,PH,12.1791,125.5072,80.92,78,100,4.32,overcast clouds
294,Pangnirtung,CA,66.1451,-65.7125,33.8,93,100,0.0,light snow
295,Kempele,FI,64.9131,25.5034,46.42,100,100,9.22,overcast clouds
296,Fortuna,US,40.5982,-124.1573,70.93,75,7,1.01,clear sky
297,Russell,US,32.3502,-85.1999,81.97,16,88,7.07,overcast clouds
298,Severo-Yeniseyskiy,RU,60.3725,93.0408,29.26,98,100,4.7,snow
299,Taoudenni,ML,22.6783,-3.9836,98.24,10,2,3.8,clear sky
300,Pudozh,RU,61.8099,36.5345,40.75,94,15,2.42,few clouds
301,Tacuati,PY,-23.45,-56.5833,77.13,88,56,6.24,broken clouds
302,Mogadishu,SO,2.0371,45.3438,77.65,86,97,13.51,overcast clouds
303,Chabua,IN,27.4825,95.1736,72.91,98,100,1.83,overcast clouds
304,Hasaki,JP,35.7333,140.8333,59.4,80,100,22.75,light rain
305,La Libertad,EC,-2.2333,-80.9,74.86,73,75,12.66,broken clouds
306,Bukama,CD,-9.2,25.85,79.7,46,97,4.43,overcast clouds
307,Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
308,Colares,PT,38.7992,-9.4469,71.28,79,0,20.71,clear sky
309,Bethel,US,41.3712,-73.414,62.19,86,100,3.44,overcast clouds
310,Saint Anthony,US,45.0205,-93.218,73.26,66,75,6.91,broken clouds
311,Faanui,PF,-16.4833,-151.75,77.59,75,40,26.31,light rain
312,Warmbad,NA,-28.45,18.7333,69.55,17,95,11.43,overcast clouds
313,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,8.05,scattered clouds
314,Belomorsk,RU,64.5232,34.7668,44.33,89,54,7.25,broken clouds
315,Bambanglipuro,ID,-7.95,110.2833,76.17,85,100,8.88,overcast clouds
316,Jumla,NP,29.2747,82.1838,56.5,93,100,2.98,overcast clouds
317,Oistins,BB,13.0667,-59.5333,80.69,83,75,24.16,broken clouds
318,Yenagoa,NG,4.9247,6.2642,75.79,93,46,5.23,light rain
319,Grao Mogol,BR,-16.5594,-42.8897,70.57,76,91,2.75,overcast clouds
320,Verkh-Usugli,RU,52.7,115.1667,20.28,73,5,2.84,clear sky
